[07-Nov-2025 08:18:05 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=3, startYear=2024, endYear=2025
[07-Nov-2025 08:21:35 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=1, startYear=2024, endYear=2025
[08-Nov-2025 12:24:44 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=3, startYear=2024, endYear=2025
[08-Nov-2025 12:37:00 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=2, startYear=2024, endYear=2025
[08-Nov-2025 12:40:48 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=3, startYear=2024, endYear=2025
[08-Nov-2025 12:55:42 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=3, startYear=2024, endYear=2025
[08-Nov-2025 12:59:58 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=3, startYear=2024, endYear=2025
[08-Nov-2025 13:08:43 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=3, startYear=2024, endYear=2025
[08-Nov-2025 15:40:31 Europe/Berlin] Received data: courseId=44, className=CpE-231, termNumber=2, startYear=2023, endYear=2024
[08-Nov-2025 16:14:12 Europe/Berlin] Received data: courseId=47, className=CpE-231, termNumber=1, startYear=2024, endYear=2025
[10-Nov-2025 15:05:49 Europe/Berlin] Received data: courseId=53, className=CpE-231, termNumber=1, startYear=2023, endYear=2024
[10-Nov-2025 15:10:57 Europe/Berlin] Received data: courseId=53, className=CpE-231, termNumber=1, startYear=2023, endYear=2024
[11-Nov-2025 04:59:56 Europe/Berlin] Received data: courseId=54, className=CpE-231, termNumber=1, startYear=2023, endYear=2024
[14-Nov-2025 08:35:17 Europe/Berlin] Received data: courseId=54, className=CpE-241, termNumber=1, startYear=2024, endYear=2025
